adm3_pcode,city_name,year,diab_deaths,diab_death_rate,pop_mean,nightlights_log,mean_temp_c,pm25_mean,hospital_nearest_mean,wealth_index_city,high_poverty
PH015518000,Dagupan City,2018.0,95,46.90338324910327,202544.0243733724,1.902008315642901,27.692508960573477,18.295625,458.801367015122,0.6369978561191257,0
PH015518000,Dagupan City,2019.0,87,42.9536246597051,202544.0243733724,1.9202688049891312,27.56972894265233,19.39986111111111,458.801367015122,0.6369978561191257,0
PH015518000,Dagupan City,2020.0,100,49.37198236747713,202544.0243733724,1.9095367425981373,28.00588709677419,18.57625,458.801367015122,0.6369978561191257,0
PH015518000,Dagupan City,2021.0,101,49.8657021911519,202544.0243733724,1.8495938371341847,27.952759856630824,19.580902777777776,461.4643811063822,0.6369978561191257,0
PH034919000,Palayan City,2018.0,3,5.618694272546407,53393.18806966146,-0.16653291037498055,26.66396929824561,28.506041666666665,7898.3728136550235,0.44681966229448256,1
PH034919000,Palayan City,2019.0,3,5.618694272546407,53393.18806966146,-0.031262335577002115,26.550533625730992,30.349583333333335,7898.3728136550235,0.44681966229448256,1
PH034919000,Palayan City,2020.0,3,5.618694272546407,53393.18806966146,0.04496832354018303,27.02610745614035,28.355486111111112,7898.3728136550235,0.44681966229448256,1
PH034919000,Palayan City,2021.0,5,9.364490454244013,53393.18806966146,0.09481899345499223,26.6593567251462,26.878194444444446,10000.0,0.44681966229448256,1
PH050506000,Legazpi City,2018.0,46,23.481910462288493,195895.47483317056,1.845059230154623,27.019769841269845,15.273055555555555,2383.6313702054526,0.5931426974790645,1
PH050506000,Legazpi City,2019.0,61,31.13905517825213,195895.47483317056,1.8914786201521427,27.283898809523812,13.922291666666668,1915.4547573330874,0.5931426974790645,1
PH050506000,Legazpi City,2020.0,20,10.209526287951519,195895.47483317056,1.8427464953910617,27.312984126984126,11.563194444444445,1915.4547573330874,0.5931426974790645,1
PH050506000,Legazpi City,2021.0,43,21.950481519095767,195895.47483317056,1.834519851941731,26.979021825396824,12.79326388888889,2003.580997151997,0.5931426974790645,1
PH063022000,Iloilo City,2018.0,132,31.265503865374964,422190.54126993817,2.53326110481611,27.149166666666666,12.891527777777778,739.8491649392347,0.6370113121379014,0
PH063022000,Iloilo City,2019.0,169,40.02931934279067,422190.54126993817,2.517096365552632,27.46909722222222,14.34173611111111,1046.1747698956221,0.6370113121379014,0
PH063022000,Iloilo City,2020.0,112,26.528306310015118,422190.54126993817,2.512111374357575,27.678472222222222,11.55048611111111,990.1154576273935,0.6370113121379014,0
PH063022000,Iloilo City,2021.0,149,35.29212178743083,422190.54126993817,2.3908207736542186,27.195625,12.033055555555555,986.7646109574337,0.6370113121379014,0
PH072230000,Mandaue City,2018.0,39,11.127035589013655,350497.6656901042,3.202875353958576,27.193904320987652,11.625694444444443,1135.5661306382672,0.6576031763555013,0
PH072230000,Mandaue City,2019.0,39,11.127035589013655,350497.6656901042,3.221396960517625,27.25298611111111,13.966875,1149.4914703643542,0.6576031763555013,0
PH072230000,Mandaue City,2020.0,83,23.680614202259832,350497.6656901042,3.163643358887052,27.256952160493828,9.900902777777777,654.9567227421695,0.6576031763555013,0
PH072230000,Mandaue City,2021.0,121,34.522341186426985,350497.6656901042,3.1754897058918408,27.136651234567903,10.871666666666666,802.8797224861254,0.6576031763555013,0
PH083747000,Tacloban City,2018.0,79,39.85502252688047,198218.43017832437,1.7348383101841192,27.638749999999998,9.763611111111112,1945.0675661761247,0.6019330922987354,1
PH083747000,Tacloban City,2019.0,86,43.38648021913569,198218.43017832437,1.8322813482109928,27.735000000000003,10.792291666666667,1945.0675661761247,0.6019330922987354,1
PH083747000,Tacloban City,2020.0,79,39.85502252688047,198218.43017832437,1.7276271372499505,27.733055555555556,7.475416666666667,1371.664741752127,0.6019330922987354,1
PH083747000,Tacloban City,2021.0,96,48.43141977950031,198218.43017832437,1.6881063149064182,27.595069444444444,9.084305555555556,1386.9490174026005,0.6019330922987354,1
PH097332000,Zamboanga City,2018.0,130,15.351107840590249,846844.4189823469,1.2367490118617,26.77901333883388,31.421005913091307,4368.891104244024,0.4411091063733711,1
PH097332000,Zamboanga City,2019.0,147,17.358560404359746,846844.4189823469,1.2415053995592964,26.861622662266228,30.953899889989,4389.62416822511,0.4411091063733711,1
PH097332000,Zamboanga City,2020.0,112,13.22556983189314,846844.4189823469,1.240786939818836,26.91955651815182,33.15536716171617,4388.420719630589,0.4411091063733711,1
PH097332000,Zamboanga City,2021.0,230,27.15965233335198,846844.4189823469,1.379890601241914,26.710669691969194,30.47565800330033,4388.263943975517,0.4411091063733711,1
PH104305000,Cagayan de Oro City,2018.0,163,22.34873149606347,729347.882803599,2.5537689878893985,25.92708940972222,12.836208333333333,963.7825581546336,0.5728904641805497,1
PH104305000,Cagayan de Oro City,2019.0,175,23.994036882276728,729347.882803599,2.4825990534804614,25.947029513888893,13.416184027777778,967.1547408138919,0.5728904641805497,1
PH104305000,Cagayan de Oro City,2020.0,136,18.64679437708363,729347.882803599,2.460634162819683,25.948315104166667,11.306930555555555,1045.5227893629367,0.5728904641805497,1
PH104305000,Cagayan de Oro City,2021.0,185,25.365124704121115,729347.882803599,2.262319885173401,25.93610590277778,12.15059201388889,1043.603135159656,0.5728904641805497,1
PH112402000,Davao City,2018.0,283,16.935850020290047,1671011.4913686116,2.458109292234928,26.90001859441409,16.103819444444444,4400.1702348379995,0.5249236392927511,1
PH112402000,Davao City,2019.0,351,21.005241544600022,1671011.4913686116,2.3086110288058888,26.78205904675167,15.089930555555554,3613.133202326645,0.5249236392927511,1
