adm3_pcode,city_name,year,diab_deaths,diab_death_rate,pop_mean,nightlights_log,mean_temp_c,pm25_mean,hospital_nearest_mean,wealth_index_city,high_poverty
PH112402000,Davao City,2020.0,327,19.56898571249062,1671011.4913686116,2.2574198644122947,26.809749924104434,13.67736111111111,3440.703412270778,0.5249236392927511,1
PH112402000,Davao City,2021.0,499,29.862152509274672,1671011.4913686116,2.2003960888093146,26.333493852459014,15.638055555555555,4291.088350588444,0.5249236392927511,1
PH137401000,City of Mandaluyong,2018.0,57,14.192278672689532,401626.83748372394,3.7832250047880764,28.16076388888889,32.17118055555556,807.0567760358853,0.7274670503788382,0
PH137401000,City of Mandaluyong,2019.0,59,14.69025336295934,401626.83748372394,3.761265128913342,28.286388888888887,35.49097222222222,707.1946109004014,0.7274670503788382,0
PH137401000,City of Mandaluyong,2020.0,58,14.441266017824436,401626.83748372394,3.6276307826011505,28.66027777777778,34.1725,994.0770912925899,0.7274670503788382,0
PH137401000,City of Mandaluyong,2021.0,75,18.674050885117808,401626.83748372394,3.593930333062746,28.20111111111111,30.089791666666667,799.7760486935462,0.7274670503788382,0
PH137503000,City of Navotas,2018.0,34,11.803780159211604,288043.3178304036,2.9183447407681564,27.80027777777778,32.17118055555555,9976.97611900758,0.6702618407080784,0
PH137503000,City of Navotas,2019.0,34,11.803780159211604,288043.3178304036,3.0383651184964537,27.844027777777775,35.490972222222226,9976.97611900758,0.6702618407080784,0
PH137503000,City of Navotas,2020.0,34,11.803780159211604,288043.3178304036,2.9923233907204336,28.263263888888886,34.1725,10000.0,0.6702618407080784,0
PH137503000,City of Navotas,2021.0,50,17.35850023413471,288043.3178304036,2.8814950440473264,27.930902777777778,30.089791666666667,10000.0,0.6702618407080784,0
PH137603000,City of Muntinlupa,2018.0,75,15.76397712570015,475768.2620442708,3.1491624904201228,27.981998456790123,30.869591049382713,638.8658551351649,0.7011881326677116,0
PH137603000,City of Muntinlupa,2019.0,91,19.12695891251618,475768.2620442708,3.155837241900816,28.11570987654321,34.16149691358025,638.8658551351649,0.7011881326677116,0
PH137603000,City of Muntinlupa,2020.0,74,15.553790764024148,475768.2620442708,3.1087772962619384,28.479259259259262,32.88524691358025,819.6742554068244,0.7011881326677116,0
PH137603000,City of Muntinlupa,2021.0,86,18.07602710413617,475768.2620442708,3.039953762703459,28.024598765432096,28.956766975308643,636.4162758992527,0.7011881326677116,0
